created_at,user_id,user_id_str,user_name,user_screen_name,user_location,user_description,user_protected,user_followers_count,user_friends_count,user_listed_count,user_created_at,user_favourites_count,user_geo_enabled,user_verified,user_statuses_count,user_is_translation_enabled,user_profile_background_color,user_profile_background_image_url,user_profile_background_image_url_https,user_profile_background_tile,user_profile_image_url,user_profile_image_url_https,user_profile_link_color,user_profile_sidebar_border_color,user_profile_sidebar_fill_color,user_profile_text_color,user_profile_use_background_image,user_has_extended_profile,user_default_profile,user_default_profile_image,user_translator_type
Fri Apr 07 20:16:57 +0000 2023,36741729,36741729,Matthew Stubblefield,Matthew_Brody,United States,Brody and Beckham’s Dad / All Gas. No Brakes. Horns Up. HOOK ‘EM!,False,264,410,8,Thu Apr 30 19:01:42 +0000 2009,7852,False,False,4242,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1596158133986009088/QhKhkena_normal.jpg,https://pbs.twimg.com/profile_images/1596158133986009088/QhKhkena_normal.jpg,1B95E0,000000,000000,000000,True,True,False,False,none
Mon Nov 18 13:01:51 +0000 2019,1679822588,1679822588,Grian,GrianMC,🇬🇧,,False,278080,290,687,Sun Aug 18 04:21:48 +0000 2013,1244,False,False,1398,False,B5E22A,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1007734613630947330/rj3Jkwed_normal.jpg,https://pbs.twimg.com/profile_images/1007734613630947330/rj3Jkwed_normal.jpg,00B3A4,FFFFFF,DDEEF6,333333,True,True,False,False,none
Tue Apr 11 03:20:37 +0000 2023,2465283662,2465283662,AK,_akhaliq,,"paper tweets, ML @Gradio (acq. by @HuggingFace 🤗)

instagram: https://t.co/LXC0qeG7AH

tiktok: https://t.co/TMNGaS3HuB

discord: https://t.co/KWHjRzGkwu",False,156791,1732,1944,Sun Apr 27 00:20:12 +0000 2014,23512,False,False,17046,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1451191636810092553/kpM5Fe12_normal.jpg,https://pbs.twimg.com/profile_images/1451191636810092553/kpM5Fe12_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,none
Wed Feb 22 12:43:43 +0000 2023,35708687,35708687,Cubeware,Cubeware,"Munich, Germany",Cubeware Solutions Platform is a powerful and robust analytics tool trusted by some of the most innovative and successful brands in Germany & across the globe.,False,1331,1979,52,Mon Apr 27 09:44:25 +0000 2009,170,False,False,2032,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1582992151994322950/sywEFvOP_normal.jpg,https://pbs.twimg.com/profile_images/1582992151994322950/sywEFvOP_normal.jpg,FFD900,FFFFFF,FAFAFA,424242,False,False,False,False,none
Thu Mar 23 01:06:32 +0000 2023,1438341642,1438341642,Jim,somedevil8498,,,False,31,494,0,Sat May 18 13:11:55 +0000 2013,47,True,False,44,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/887870911877140480/fzPU4Ux__normal.jpg,https://pbs.twimg.com/profile_images/887870911877140480/fzPU4Ux__normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,none
Wed Feb 08 10:08:26 +0000 2023,310784514,310784514,Voiceofshubham,BorhadeShubham,India,,False,10,5,0,Sat Jun 04 10:26:37 +0000 2011,78,False,False,27,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1494757915479085059/VcWjcV0p_normal.jpg,https://pbs.twimg.com/profile_images/1494757915479085059/VcWjcV0p_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,none
Mon Apr 10 18:24:25 +0000 2023,2577886615,2577886615,Tone Vays,ToneVays,Global,"Former Wall Street Quant w/ MS in Financial Engineering, Derivatives Trader & Financial Educator. Founder of @FinSummit, @Unconfiscatable & @UnderstandBit",False,292766,1437,4724,Fri Jun 20 02:28:08 +0000 2014,41371,True,True,25947,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1416821178266787844/T1OkI9ZW_normal.jpg,https://pbs.twimg.com/profile_images/1416821178266787844/T1OkI9ZW_normal.jpg,2FC2EF,181A1E,252429,666666,True,False,False,False,none
Sat Sep 24 13:40:39 +0000 2022,2197224919,2197224919,sharkboy98,rkyashasvi,,,False,0,250,0,Sat Nov 16 06:31:30 +0000 2013,993,False,False,13,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,True,none
Mon Mar 13 16:10:51 +0000 2023,38669987,38669987,Penny Stephens 💙,cornishpenny,UK,"Retired writer/editor, animal lover, knitting junkie and ageing hippy. Oh and European to the core.
#FBPE",False,793,1079,17,Fri May 08 13:57:29 +0000 2009,5160,True,False,1612,False,000000,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1563959086135255055/nj7D4tzQ_normal.jpg,https://pbs.twimg.com/profile_images/1563959086135255055/nj7D4tzQ_normal.jpg,94D487,000000,000000,000000,False,False,False,False,none
Thu Apr 06 20:07:20 +0000 2023,499161087,499161087,Timoteos Onur Özçelik,TimotiOzcelik,,,False,153,260,0,Tue Feb 21 20:54:33 +0000 2012,1011,False,False,1072,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/1263906315568627715/vxOlsnQn_normal.jpg,https://pbs.twimg.com/profile_images/1263906315568627715/vxOlsnQn_normal.jpg,2F93EB,FFFFFF,252429,666666,True,False,False,False,none
Sun Dec 12 11:52:43 +0000 2021,593658151,593658151,Andre Barrette😎🏆💲,AndreBarrette1,Ottawa Ontario Canada,"💪Build your biz on #twitter💰 ThisTraining gets me leads everyday...bit.ly/2mXrDuA
 #health #affiliate https://t.co/V74lSQb3QJ",False,8878,9747,31,Tue May 29 12:20:04 +0000 2012,2,False,False,365,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1603007998284152835/Le3VAaOP_normal.png,https://pbs.twimg.com/profile_images/1603007998284152835/Le3VAaOP_normal.png,3B94D9,000000,000000,000000,False,False,False,False,none
Mon Apr 10 02:21:58 +0000 2023,2308978435,2308978435,Daniel Carrillo,carrillo_dc,,,False,62,278,0,Fri Jan 24 21:13:05 +0000 2014,83424,False,False,14984,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1403102461221556226/FwW5hveX_normal.jpg,https://pbs.twimg.com/profile_images/1403102461221556226/FwW5hveX_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,none
